번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
K1637,소명 하늘의 별,인물|지역,2013,11666,A,05891
K1638,범죄소년,드라마,2012,11655,K,13197
K1639,검은손,공포,2015,11650,K,14649
K1640,멜리스,공포|스릴러,2016,11484,K,15225
K1641,만분의 일초,액션|드라마|판타지|스릴러,2023,11479,K,34798
K1642,북극의 눈물,자연ㆍ환경,2009,11420,A,04793
K1643,황제펭귄 펭이와 솜이,자연ㆍ환경,2012,11418,A,05784
K1644,조난자들,미스터리|스릴러,2014,11402,K,13950
K1645,미워도 다시 한번 2002,멜로드라마|신파|드라마,2002,11359,K,05533
K1646,수상한 이웃,코메디,2019,11341,K,21107
K1647,싸울아비,액션|드라마|무협|활극,2002,11301,K,05545
K1648,좋은 사람,미스터리,2021,11297,K,23121
K1649,팬텀: 더 뮤지컬 라이브,뮤지컬,2021,11293,A,10625
K1650,곤충왕국 3D,자연ㆍ환경,2014,11263,A,06093
K1651,"이대근, 이댁은",코메디|드라마,2007,11206,K,08905
K1652,공동정범,인물|사회,2018,11198,A,06533
K1653,녹색의자,드라마|사회물(경향),2005,11178,K,05962
K1654,토이솔져스:가짜사나이2 더컴플리트,인물,2021,11116,A,09988
K1655,오! 마이 고스트,코메디|공포,2022,11094,K,27562
K1656,무산일기,드라마|사회물(경향),2011,11085,K,12542
K1657,1984 최동원,인물|스포츠,2021,11069,A,10457
K1658,시간을 꿈꾸는 소녀,가족|청춘영화|종교,2023,11011,A,10952
K1659,화이트데이: 부서진 결계,공포|판타지,2021,10997,K,24606
K1660,모래가 흐르는 강,사회|자연ㆍ환경,2013,10942,A,05874
K1661,비닐하우스,스릴러|범죄,2023,10923,K,32627
K1662,헬로우 마이 러브,코메디|드라마|멜로드라마|동성애,2009,10905,K,10438
K1663,로보카폴리 안전교실 교통편,아동,2022,10888,K,31565
K1664,나의 살던 고향은,드라마|뮤직,2016,10887,A,06551
K1665,이웃집 스타,코메디,2017,10854,K,16533
K1666,"혜화,동",드라마,2011,10843,K,12598
K1667,잔칫날,드라마|가족,2020,10809,K,22222
K1668,더 킹,시대극/사극|종교|전기,2001,10807,K,05447
K1669,제 7기사단,액션|어드벤처,2015,10710,K,15009
K1670,라임크라임,드라마|청춘영화|뮤직,2021,10708,K,23123
K2581,길위에 김대중,인물,2024,10697,A,12524
K1671,살아남은 아이,드라마|가족|범죄,2018,10652,K,16664
K1672,용서받지 못한 자,드라마,2005,10647,K,06742
K1673,정말 먼 곳,드라마,2021,10644,K,22660
K1674,직지코드,사회|역사|문화,2017,10639,A,06613
