번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
F1246,더 셰프,드라마|코메디,2015,185080,F,35051
F1247,롱 샷,코메디|멜로드라마,2019,184796,F,47835
F1248,헝거게임: 노래하는 새와 뱀의 발라드,액션|어드벤처|SF|스릴러,2023,184265,F,59544
F1249,저지 걸,코메디|드라마,2004,184049,F,09867
F1250,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,어드벤처|판타지,2018,183421,F,41311
F1251,미스 에이전트,코메디|스릴러,2001,182909,F,07422
F1252,극장판 명탐정 코난: 탐정들의 진혼가,드라마|미스터리,2014,182668,F,32322
F1253,포켓 몬스터-뮤츠의 역습,액션|코메디|어드벤처|아동|가족,2000,182360,F,07336
F1254,극장판 도라에몽: 진구의 보물섬,SF|어드벤처,2018,182256,F,42173
F1255,조디악,드라마|범죄|스릴러,2007,182050,F,21072
F1256,바니버디,코메디,2011,181841,F,27730
F1257,20세기 소년,SF|어드벤처|판타지,2008,181649,F,22432
F1258,엔젤 해즈 폴른,액션|스릴러|드라마,2019,181400,F,49495
F1259,유령작가,드라마|미스터리|스릴러,2010,180826,F,26317
F1260,"나는 내일, 어제의 너와 만난다",멜로/로맨스|판타지,2017,180821,F,39868
F1261,백악관 최후의 날,액션|스릴러,2013,180661,F,30976
F1262,로마 위드 러브,드라마|코메디,2013,180486,F,30116
F1263,13번째 전사,액션|시대극/사극|어드벤처|판타지,2000,180484,F,06833
F1264,127시간,드라마|어드벤처|스릴러,2011,180332,F,27427
F1265,레전드,전기|액션|범죄|드라마,2015,180082,F,35151
F1266,쟈니 잉글리쉬,액션|코메디|어드벤처|첩보|가족,2003,180022,F,08253
F1267,크림슨 리버 2 : 요한 계시록의 천사들,액션|범죄|스릴러,2005,180022,F,10731
F1268,댄 인 러브,코메디|멜로드라마|가족,2008,179680,F,21633
F1269,데드 캠프,공포(호러)|스릴러,2003,179411,F,08325
F1270,밤쉘: 세상을 바꾼 폭탄선언,드라마,2020,179393,F,50240
F1271,엘도라도,액션|코메디|어드벤처|가족,2000,178972,F,07137
F1272,핵소 고지,액션|드라마|시대극/사극|전쟁,2017,178055,F,37638
F1273,데스티네이션,공포(호러)|미스터리|판타지|스릴러,2000,177727,F,07124
F1274,오펀: 천사의 탄생,범죄|드라마|공포|미스터리|스릴러,2022,177705,F,56807
F1275,허트 로커,액션|드라마|전쟁,2010,177509,F,26197
F1276,문라이트,드라마,2017,177483,F,38250
F1277,유전,공포|미스터리,2018,177145,F,41375
F1278,위 워 솔저스,액션|드라마|전쟁,2002,177124,F,07911
F1279,어바웃 슈미트,코메디|드라마,2003,176948,F,08198
F1280,겟 스마트,액션|코메디|첩보,2008,176852,F,21871
F1281,명탐정 코난 : 은빛 날개의 마술사,범죄|스릴러,2013,176483,F,30526
F1282,더 로드,드라마|어드벤처|스릴러,2010,176152,F,26121
F1283,오퍼나지 - 비밀의 계단,판타지|스릴러|드라마|미스터리,2008,175588,F,21656
F1284,어느 가족,드라마|가족,2018,175519,F,41711
F1285,부활,드라마,2016,175146,F,35441
F1286,업사이드 다운,SF|판타지,2012,174879,F,30268
F1287,론 서바이버,액션|스릴러|전쟁,2014,173678,F,32530
