번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1807,헌티드,2004-03-12,"81,973","39,535",2004,81973,액션,헌티드,액션|드라마|스릴러
1808,오리지날 씬,2001-10-12,0,"81,879",2001,81879,멜로/로맨스,오리지날 씬,드라마|스릴러
1809,젠틀맨,2020-02-26,"81,482","36,075",2020,81482,범죄,젠틀맨,액션|범죄
1810,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,"81,475","20,894",2023,81475,애니메이션,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,액션|범죄|미스터리|스릴러
1811,파벨만스,2023-03-22,"81,467","45,287",2023,81467,드라마,파벨만스,드라마
1812,노 브레인 레이스,2004-09-24,"81,423","23,518",2004,81423,코미디,노 브레인 레이스,코메디|어드벤처|로드무비
1813,아따맘마 - 극장판,2011-02-17,"81,352","15,687",2011,81352,애니메이션,아따맘마 극장판,코메디|가족
1814,패스워드,2001-04-20,0,"81,259",2001,81259,SF,패스워드,드라마|범죄|스릴러
1815,코요테 어글리,2000-09-29,0,"81,211",2000,81211,코미디,코요테 어글리,코메디|드라마|뮤직
1816,꼬마참새 리차드: 아프리카 원정대,2017-06-15,"81,136","13,844",2017,81136,애니메이션,꼬마참새 리차드: 아프리카 원정대,어드벤처
1817,원 챈스,2014-03-13,"80,977","29,412",2014,80977,코미디,원챈스,드라마|코메디
1818,"우리, 사랑해도 되나요?",2005-12-15,"80,900","40,000",2005,80900,멜로/로맨스,"우리, 사랑해도 되나요?",코메디|멜로드라마
1819,언어의 정원,2013-08-14,"80,792","28,007",2013,80792,애니메이션,언어의 정원,멜로/로맨스
1820,더 퀸,2007-02-15,"80,769","47,093",2007,80769,다큐멘터리,더 퀸,드라마|전기
1821,엑스페리먼트,2010-08-11,"80,367","24,383",2010,80367,드라마,엑스페리먼트,스릴러|실험
1822,아무르,2012-12-19,"80,345","62,545",2012,80345,드라마,아무르,드라마
1823,102 달마시안,2000-12-22,0,"80,243",2000,80243,가족,102 달마시안,코메디|가족
